created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-15T21:57:33Z,1592713456075309e3,1592713456075309056,"#CanadianConvulsions &gt; Inquiry into #Trudeau's invoking #EmergenciesAct against Truckers

https://t.co/BWs31ZWjx3 https://t.co/RD318g4l00",FALSE,116,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"#CanadianConvulsions &gt; Inquiry into #Trudeau's invoking #EmergenciesAct against Truckers

https://t.co/BWs31ZWjx3 https://t.co/RD318g4l00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:53:24Z,1592712411374833700,1592712411374833666,HEALTHCARE is the biggest issue in Ontario today! I’ll vote for whichever leader talks and does something about our Healthcare because #Trudeau’s government seems least interested! @JustinTrudeau #DougFord @SylviaJonesMPP #Ontario #Canada #Crisis #Hospitals @theJagmeetSingh https://t.co/20JlzFWEEW,FALSE,274,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,HEALTHCARE is the biggest issue in Ontario today! I’ll vote for whichever leader talks and does something about our Healthcare because #Trudeau’s government seems least interested! @JustinTrudeau #DougFord @SylviaJonesMPP #Ontario #Canada #Crisis #Hospitals @theJagmeetSingh https://t.co/20JlzFWEEW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:50:38Z,1592711712234504200,1592711712234504194,Another nail in the coffin of our freedoms. The hour is getting late and the sheep are too busy chanting “conspiracy theory “ rather than seeing the conspiracies unfolding before their eyes.                                   #WEF #money #Trudeau #G20 https://t.co/jqCCVyd0V9,FALSE,274,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,2,FALSE,FALSE,FALSE,en,NA,NA,,Another nail in the coffin of our freedoms. The hour is getting late and the sheep are too busy chanting “conspiracy theory “ rather than seeing the conspiracies unfolding before their eyes.                                   #WEF #money #Trudeau #G20 https://t.co/jqCCVyd0V9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:40:56Z,1592709273821544400,1592709273821544448,@Sheldoc4 #ElonMusk can’t stand #Trudeau and his idea of what speech is acceptable and which is not. #Canada,FALSE,108,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1592587950755577900,1592587950755577858,1242250708381880300,1242250708381880320,Sheldoc4,,,,NA,FALSE,0,1,FALSE,FALSE,NA,en,NA,NA,,@Sheldoc4 #ElonMusk can’t stand #Trudeau and his idea of what speech is acceptable and which is not. #Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:28:50Z,1592706229016854500,1592706229016854535,"@acoyne You are the liar, Andrew. You're a biased, yellow journalist in the pocket of the #Trudeau #Liberals. #Canada #Cdnpoli",FALSE,126,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1592700802598158300,1592700802598158341,3079986094,3079986094,acoyne,,,,NA,FALSE,0,1,FALSE,FALSE,NA,en,NA,NA,,"@acoyne You are the liar, Andrew. You're a biased, yellow journalist in the pocket of the #Trudeau #Liberals. #Canada #Cdnpoli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:27:45Z,1592705955875426300,1592705955875426304,"Imagine having Biden and Trudeau at the wheel when Putin starts getting real pissed off at America.

We are so fucked!

#Trudeau #Biden #Putin #cdnpoli #media",FALSE,158,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"Imagine having Biden and Trudeau at the wheel when Putin starts getting real pissed off at America.

We are so fucked!

#Trudeau #Biden #Putin #cdnpoli #media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:23:24Z,1592704860428079e3,1592704860428079104,"BREAKING: Donald Trump announces he will enter the race to be the Republican nominee for President in 2024. 

#cdnpoli #uspoli #trump #trudeau #yxe",FALSE,147,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,3,FALSE,FALSE,NA,en,NA,NA,,"BREAKING: Donald Trump announces he will enter the race to be the Republican nominee for President in 2024. 

#cdnpoli #uspoli #trump #trudeau #yxe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:12:39Z,1592702153759809500,1592702153759809536,"In an #email presented at the Public Order #Emergency Commission Tuesday, Jody Thomas, #Trudeau's #nationalsecurity #intelligence adviser, writes that she's looking for a #threat #assessment.",FALSE,191,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1592702151708803e3,1592702151708803072,1456228393234493400,1456228393234493446,ReddySalina,,,,NA,FALSE,1,1,FALSE,FALSE,NA,en,NA,NA,,"In an #email presented at the Public Order #Emergency Commission Tuesday, Jody Thomas, #Trudeau's #nationalsecurity #intelligence adviser, writes that she's looking for a #threat #assessment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:10:21Z,1592701576007016400,1592701576007016449,"@mikessidhu @theJagmeetSingh @liberal_party @Twitter @JustinTrudeau Voters must move away from @theJagmeetSingh's #NDP, @JustinTrudeau's #LPC &amp; #PierrePoilievre's #CPC. #Trudeau has bad policies, #JagmeetSingh propped Trudeau up &amp; #Poilievre will continue Trudeau's policies.

#CDNpoli #Canada #ABpoli #CGYpoli #CGY #Calgary #EDMpoli #Edmonton",FALSE,351,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1592698559979491300,1592698559979491328,1171837416216285200,1171837416216285186,mikessidhu,,,,NA,FALSE,0,1,FALSE,FALSE,NA,en,NA,NA,,"@mikessidhu @theJagmeetSingh @liberal_party @Twitter @JustinTrudeau Voters must move away from @theJagmeetSingh's #NDP, @JustinTrudeau's #LPC &amp; #PierrePoilievre's #CPC. #Trudeau has bad policies, #JagmeetSingh propped Trudeau up &amp; #Poilievre will continue Trudeau's policies.

#CDNpoli #Canada #ABpoli #CGYpoli #CGY #Calgary #EDMpoli #Edmonton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:06:04Z,1592700497877950500,1592700497877950465,"Canadian Prime Minister Justin #Trudeau deleted a tweet containing false information on mass death sentences in #Iran, after a viral campaign on social media circulated the fake news. And he has the nerve to censor Canadians. https://t.co/JbiYfufL5r",FALSE,249,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Canadian Prime Minister Justin #Trudeau deleted a tweet containing false information on mass death sentences in #Iran, after a viral campaign on social media circulated the fake news. And he has the nerve to censor Canadians. https://t.co/JbiYfufL5r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T21:06:02Z,1592700491913654300,1592700491913654274,"🇺🇸🇪🇺🇨🇦  - Joint #NATO roundtable at #G20 following #Poland strike.

Note how #Trudeau is straight to the right of President #Biden. https://t.co/9IdvNfauyD",FALSE,131,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,"🇺🇸🇪🇺🇨🇦  - Joint #NATO roundtable at #G20 following #Poland strike.

Note how #Trudeau is straight to the right of President #Biden. https://t.co/9IdvNfauyD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:52:53Z,1592697181013971e3,1592697181013970946,@EndWokeness @LisaMarieBoothe 4 #POS in this picture #cucks #leftist #trash #wef #who #msm #newworldorder #trudeau is a #pedophile,FALSE,130,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1592688231895949300,1592688231895949312,1552795969959637e3,1552795969959636992,EndWokeness,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@EndWokeness @LisaMarieBoothe 4 #POS in this picture #cucks #leftist #trash #wef #who #msm #newworldorder #trudeau is a #pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:30:03Z,1592691435664539600,1592691435664539648,"TIL that the current chinese president Xi Jinping, has a PhD in English literature. That's why the Chinese people call him ""The Great Reader"". #Trudeau #Chinese #President #Xi #Jinping #Indonesia https://t.co/XtItjmQ9zf",FALSE,219,,,"<a href=""https://donot.com"" rel=""nofollow"">frmwk2</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"TIL that the current chinese president Xi Jinping, has a PhD in English literature. That's why the Chinese people call him ""The Great Reader"". #Trudeau #Chinese #President #Xi #Jinping #Indonesia https://t.co/XtItjmQ9zf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:27:19Z,1592690748155367400,1592690748155367425,"The World Economic Forum needs to win domestically and globally.

Which country will bring us to a global nuclear conflict where every capable country fires their nukes all about the same time?
#nuclearwar
#nuclearWinter #nuclear #Biden
#UnitedNations #Zelensky #Trudeau",FALSE,270,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,NA,en,NA,NA,,"The World Economic Forum needs to win domestically and globally.

Which country will bring us to a global nuclear conflict where every capable country fires their nukes all about the same time?
#nuclearwar
#nuclearWinter #nuclear #Biden
#UnitedNations #Zelensky #Trudeau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:24:50Z,1592690123418001400,1592690123418001409,@biden and #Trudeau tearing communist Mao clothing is the most honest thing they’ve done. https://t.co/Ba8KoSW9ZD,FALSE,89,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,24259259,24259259,biden,,,,NA,TRUE,0,0,FALSE,FALSE,TRUE,en,1592219685080424400,1592219685080424448,,@biden and #Trudeau tearing communist Mao clothing is the most honest thing they’ve done. https://t.co/Ba8KoSW9ZD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:23:37Z,1592689813941280800,1592689813941280772,@KateMinor2 interesting since #lpc #trudeau will not return #cdnpoli money he borrowed https://t.co/8FL4z9r38r,FALSE,86,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1047146220425162800,1047146220425162752,365170252,365170252,KateMinor2,,,,NA,FALSE,0,0,FALSE,FALSE,TRUE,en,NA,NA,,@KateMinor2 interesting since #lpc #trudeau will not return #cdnpoli money he borrowed https://t.co/8FL4z9r38r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:22:32Z,1592689541588357e3,1592689541588357123,‼️‼️WHAT ON EARTH #Ukraine is doing to pro-#Russia people in #Kherson!!? #TrudeauNationalDisgrace #Trudeau #TrudeauMustGoToJail #FreelandMustGo #BidenIsADisgrace https://t.co/DCI0jpUMNd,FALSE,161,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,4,FALSE,FALSE,FALSE,en,NA,NA,,‼️‼️WHAT ON EARTH #Ukraine is doing to pro-#Russia people in #Kherson!!? #TrudeauNationalDisgrace #Trudeau #TrudeauMustGoToJail #FreelandMustGo #BidenIsADisgrace https://t.co/DCI0jpUMNd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-15T20:21:58Z,1592689400819118e3,1592689400819118080,"@KateMinor2 @MelissaLantsman #lpc #trudeau out-of-control borrowing, money printing and economic ignorance is responsible for #cdnpoli inflation https://t.co/LMNQGLxmG8",FALSE,144,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1592656707259633700,1592656707259633664,365170252,365170252,KateMinor2,,,,NA,FALSE,0,0,FALSE,FALSE,TRUE,en,NA,NA,,"@KateMinor2 @MelissaLantsman #lpc #trudeau out-of-control borrowing, money printing and economic ignorance is responsible for #cdnpoli inflation https://t.co/LMNQGLxmG8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
